hero_pool_week,map_name,Ana,Ashe,Baptiste,Bastion,Brigitte,D.Va,Doomfist,Echo,Genji,Hanzo,Junkrat,Lúcio,McCree,Mei,Mercy,Moira,Orisa,Pharah,Reaper,Reinhardt,Roadhog,Sigma,Soldier: 76,Sombra,Symmetra,Torbjörn,Tracer,Widowmaker,Winston,Wrecking Ball,Zarya,Zenyatta
Overwatch League - Stage 2 - 2018,Route 66,0.0900456715798911,0.0,0.0,0.0007960064335971501,0.0,0.9828236862965255,0.0018198375210769944,0.0,0.19980187733145696,0.010206094365020173,0.009835433018103171,0.4429663497923107,0.1931173983668351,0.010013163743223958,0.47135943128143637,0.08826223033204687,0.006562887679601957,0.009251085851714209,0.03908825830613413,0.012489655625434368,0.08587970414355728,0.0,0.11606229673493473,0.19651876817150685,1.7741109886315713e-05,0.0,0.8772912838690254,0.32829323175749203,0.947817372408689,0.0,0.011763704107377171,0.8679168301731217
Overwatch League - Stage 2 - 2018,Volskaya Industries,0.14269462808791364,0.0,0.0,0.0,0.0,0.9966665682074665,0.008713998615475576,0.0,0.33198092235818516,0.00016250562045540409,0.0,0.4998482344832084,0.0871993753312731,0.012710464410115188,0.3758787230929973,0.0451632987063386,0.0001015232338546272,0.0036137605551521297,0.03751053796834819,0.0008727594043673315,0.039701131894536876,0.0,0.21505487558803604,0.21678823366051575,0.0,0.00017798443750148828,0.9214207485292549,0.258699148498397,0.9902291850947093,0.0,0.0,0.8148113922218968
Overwatch League - Stage 2 - 2018,Watchpoint: Gibraltar,0.1860192980258987,0.0,0.0,0.0016416938549215453,0.0,0.9974818564470812,0.0014942776941303604,0.0,0.37564213433395477,0.011825405790818984,5.5228256886450954e-05,0.20616956206916057,0.039050771493576386,0.003194073900861104,0.6454200958990655,0.008320941731369113,0.001586322838492555,0.0,0.007416494203446048,0.00012919018262695094,0.01716800735623007,0.0,0.11864743341295236,0.027340354421194955,0.0,5.532503246051059e-05,0.8338076623831713,0.5854689092542463,0.9856343104601589,0.0,0.0,0.9464306509572954
Overwatch League - Stage 3 - 2018,Blizzard World,5.943101994850943e-05,0.0,0.0,0.0004948674866416169,0.0,0.9975044693425013,0.0031683128715073528,0.0,0.14267981793899623,0.00041549802479489285,0.14828308950368094,0.18030067443274206,0.12571359402538884,0.0,0.8148684366864615,0.07688453690721386,0.007404861678282255,0.012753216076159105,0.00019788696395320684,0.030415506978927028,0.02869235862809591,0.0,0.02112562946714602,0.3037817183309234,0.0,0.0,0.8950974436305992,0.32591265695094074,0.9621994946282596,0.0,0.0,0.922046498426836
Overwatch League - Stage 3 - 2018,Ilios,0.0,0.0,0.0,0.0,0.0,0.9686929723121125,0.00654554800906158,0.0,0.0594764549406908,0.0,0.02722016663640694,0.30731305663753433,0.26533348767363363,0.0,0.810908915568746,0.1382659850212613,0.053258025238299055,0.1730577699686721,0.007399285246964275,0.024279986023517164,0.07507680342259498,0.0,0.04666070163650465,0.1333009867723521,0.0,0.0,0.9344274408479415,0.3171576446881877,0.9206309218802445,0.0,0.0,0.7309938474752752
Overwatch League - Stage 3 - 2018,Junkertown,0.010604852088264878,0.0,0.0,0.11205931695390474,0.0,0.8579315840720475,0.002718349109959238,0.0,0.18407037771339516,0.052425561235879534,0.6030818129021783,0.014186306768532858,0.016565712291085926,0.010970448248521218,0.9831250379152399,0.002561350019187033,0.7146442618276837,0.0,0.0011605842063957112,0.00027720356259966646,0.5583855893583176,0.0,0.004848581319060529,0.03992687280888508,0.0,0.00010391725190452151,0.22710902754243656,0.8148224094725808,0.2515676514353044,0.0,0.0004335039993762706,0.5364196878972589
Overwatch League - Stage 3 - 2018,Nepal,0.010996754656430746,0.0,0.0,0.006245796942182629,0.0,0.8802287636534374,0.00947719032187487,0.0,0.14663502927736455,0.0,0.388992904002823,0.3008385945129028,0.12767530757328271,0.03149903886920656,0.7251370920468113,0.1911296621724664,0.23659321583283718,0.1613436709873451,0.05607344100792261,0.15360304345469944,0.22662909899800313,0.0,0.04172231246571746,0.0822371246089497,0.0,0.0,0.5538037859319271,0.2825860090201274,0.5900050332992439,0.0,0.027326336971541326,0.7692207933929026
Overwatch League - Stage 3 - 2018,Numbani,0.04908665079900964,0.0,0.0,0.0,0.0,0.9995688874743108,0.0016313323689008245,0.0,0.3562502908860493,9.371297839378821e-05,0.052272120094788065,0.09863740532455148,0.06294671366842626,0.00236279585135791,0.9116959624273745,0.058385678753311014,0.02380184810084072,0.03396547271891492,0.0,0.005869839467631581,0.016372154512210548,0.0,0.2602795567222938,0.07633941509984936,0.0,0.002269546020210094,0.9039143918673508,0.23357259648646464,0.9704970870070668,0.0,0.005157256976003935,0.875029284394689
Overwatch League - Stage 3 - 2018,Oasis,0.00016978322856311013,0.0,0.0,0.0,0.0,0.9612544966577703,0.011221317140073687,0.0,0.09403198252723584,0.0,0.2295313234210155,0.43831667128885454,0.2093809241243488,0.0,0.6415132005533201,0.33543723486885463,0.02250709997339406,0.17667570586596879,0.008714305928106333,0.17441592652463772,0.11176740947401781,0.0,0.011662720763316169,0.30755873716805365,0.0,0.0,0.7891846407773523,0.003830096929390313,0.8028395380998762,0.0,0.08918786454489246,0.5807990201409574
Overwatch League - Stage 3 - 2018,Route 66,0.0044871841399764835,0.0,0.0,0.0,0.0,0.990225056395544,0.00320184155426417,0.0,0.09571688103678505,0.0033738524922435095,0.020065278071692613,0.043435335220348814,0.049727487157345596,0.0010319374817232125,0.950850663731334,0.0015337226302791194,0.012879245004001729,0.00011489158308914242,0.007541160563159552,0.002529848557012976,0.039137942274278116,0.0,0.024110103954179184,0.0243007764322521,0.0,0.0,0.9731873230532117,0.8027755731402533,0.9528606090203691,0.0,0.0013221739506437894,0.995591112556013
Overwatch League - Stage 3 - 2018,Temple of Anubis,0.0012226503443899972,0.0,0.0,0.0,0.0,0.9993424506209448,0.009408666761934406,0.0,0.45878799171532925,0.0,0.4584559016296387,0.06144213067182889,0.023503844244586968,0.008520287266298278,0.9332062033311485,0.03815859730533664,0.1993562510236412,0.007412062179410087,0.010649290320910505,0.0026026406434934814,0.017838084943110857,0.0,0.0037666524978213927,0.07867505371939137,0.0,1.9920856592973852e-05,0.6975769862589812,0.2345592620528835,0.7980611533214718,0.0,0.0,0.9574339182908546
Overwatch League - Stage 3 - 2018,Volskaya Industries,0.018513502937511406,0.0,0.0,0.0,0.0,0.9962490514020466,0.0016363460317990125,0.0,0.24299920408128622,0.0002524806520696135,0.016156277312100953,0.044161836790323816,0.11064483828129235,0.0042583362934808765,0.9430784707215978,0.013623359452465601,0.0028956652629572575,0.0,0.000938412813930495,9.031186494460256e-05,0.006310377180535593,0.0,0.05484868845800138,0.1279434903412289,0.0,0.0,0.9987884403297188,0.44638383192751296,0.995696180423313,0.0,0.0,0.9745308974418834
