match_id,game_number,map_name,map_winner,match_date,team_one_name,team_two_name,team_one_score,team_two_score,season
31025,2,Blizzard World,London Spitfire,2020/02/29,Houston Outlaws,London Spitfire,100.0,88.52456053398721,2020
31029,2,King's Row,Philadelphia Fusion,2020/03/01,Philadelphia Fusion,Boston Uprising,100.0,44.876414843202404,2020
31030,2,King's Row,Paris Eternal,2020/03/01,Atlanta Reign,Paris Eternal,58.8981686102025,100.0,2020
31031,2,Eichenwalde,London Spitfire,2020/03/01,London Spitfire,Florida Mayhem,100.0,58.010499796683405,2020
31032,2,King's Row,Houston Outlaws,2020/03/02,Houston Outlaws,Toronto Defiant,100.0,81.432003141679,2020
31036,3,Blizzard World,Florida Mayhem,2020/03/07,Florida Mayhem,Toronto Defiant,100.0,88.34308835648308,2020
31037,3,Eichenwalde,Houston Outlaws,2020/03/07,Houston Outlaws,Paris Eternal,100.0,72.96179886685414,2020
31038,3,Eichenwalde,Washington Justice,2020/03/08,Washington Justice,Boston Uprising,100.0,75.05485006532531,2020
31042,3,Blizzard World,Philadelphia Fusion,2020/03/08,Philadelphia Fusion,Paris Eternal,100.0,0.0,2020
31043,3,Eichenwalde,Atlanta Reign,2020/03/09,Atlanta Reign,Boston Uprising,100.0,59.16985241363308,2020
31044,3,King's Row,New York Excelsior,2020/03/08,Washington Justice,New York Excelsior,88.9916079968107,100.0,2020
31054,4,Eichenwalde,Toronto Defiant,2020/04/04,Washington Justice,Toronto Defiant,73.19317286134951,100.0,2020
31058,3,Eichenwalde,Guangzhou Charge,2020/03/29,Guangzhou Charge,Hangzhou Spark,100.0,0.0,2020
31060,3,Eichenwalde,Atlanta Reign,2020/03/29,Florida Mayhem,Atlanta Reign,77.39565142451849,100.0,2020
31064,2,Hollywood,Philadelphia Fusion,2020/04/12,Atlanta Reign,Philadelphia Fusion,73.29697795133137,100.0,2020
31066,3,Hollywood,Boston Uprising,2020/03/28,Toronto Defiant,Boston Uprising,0.0,100.0,2020
31073,4,Hollywood,Paris Eternal,2020/04/05,Houston Outlaws,Paris Eternal,59.50941163819669,100.0,2020
31087,2,Hollywood,Boston Uprising,2020/04/11,Houston Outlaws,Boston Uprising,100.0,80.70803691877609,2020
31093,2,Numbani,Toronto Defiant,2020/04/12,Houston Outlaws,Toronto Defiant,0.0,100.0,2020
31094,2,Hollywood,Paris Eternal,2020/04/11,Paris Eternal,Philadelphia Fusion,100.0,76.92491537167054,2020
32804,4,Eichenwalde,San Francisco Shock,2020/04/05,Los Angeles Valiant,San Francisco Shock,86.11697593638135,100.0,2020
32811,3,Eichenwalde,Shanghai Dragons,2020/03/28,Shanghai Dragons,Guangzhou Charge,100.0,77.09602882554337,2020
32813,3,Numbani,San Francisco Shock,2020/03/28,Los Angeles Gladiators,San Francisco Shock,61.863887797191396,100.0,2020
32814,3,Numbani,Los Angeles Valiant,2020/03/30,Los Angeles Valiant,San Francisco Shock,100.0,99.99947510176354,2020
32817,4,Eichenwalde,Dallas Fuel,2020/04/06,Dallas Fuel,Los Angeles Valiant,100.0,99.99870342841459,2020
32822,4,Eichenwalde,Houston Outlaws,2020/04/26,Houston Outlaws,Dallas Fuel,100.0,96.54891692827778,2020
32826,4,Hollywood,Hangzhou Spark,2020/04/26,Chengdu Hunters,Hangzhou Spark,0.0,100.0,2020
32832,4,Eichenwalde,Shanghai Dragons,2020/04/06,Shanghai Dragons,Chengdu Hunters,100.0,66.51431701524018,2020
32833,4,Eichenwalde,Hangzhou Spark,2020/04/06,Hangzhou Spark,Guangzhou Charge,100.0,74.55465904392823,2020
32841,2,Eichenwalde,San Francisco Shock,2020/04/13,San Francisco Shock,Los Angeles Gladiators,100.0,59.21987865234004,2020
32843,3,Hollywood,Shanghai Dragons,2020/04/19,Chengdu Hunters,Shanghai Dragons,76.36388436230342,100.0,2020
32844,3,Eichenwalde,Hangzhou Spark,2020/04/19,Hangzhou Spark,Guangzhou Charge,100.0,99.99848182672643,2020
32845,3,Numbani,draw,2020/04/18,Hangzhou Spark,Shanghai Dragons,80.0792741665887,100.0,2020
32851,3,Hollywood,Chengdu Hunters,2020/04/18,Guangzhou Charge,Chengdu Hunters,0.0,100.0,2020
32852,2,Hollywood,Shanghai Dragons,2020/04/12,Shanghai Dragons,Guangzhou Charge,100.0,65.01067325807382,2020
32853,3,Numbani,Dallas Fuel,2020/04/18,San Francisco Shock,Dallas Fuel,0.0,100.0,2020
32854,2,Hollywood,Hangzhou Spark,2020/04/11,Chengdu Hunters,Hangzhou Spark,65.40013245677866,100.0,2020
32855,3,Eichenwalde,Toronto Defiant,2020/04/18,Toronto Defiant,Boston Uprising,100.0,74.55462796052088,2020
32856,3,Numbani,Florida Mayhem,2020/04/18,Paris Eternal,Florida Mayhem,99.36000795939461,100.0,2020
32857,3,Eichenwalde,draw,2020/03/29,Los Angeles Gladiators,Seoul Dynasty,100.0,100.0,2020
32861,3,Hollywood,Los Angeles Valiant,2020/04/17,Los Angeles Valiant,Los Angeles Gladiators,100.0,80.2658407144032,2020
32862,3,Hollywood,Atlanta Reign,2020/04/17,Washington Justice,Atlanta Reign,90.62241121392276,100.0,2020
32863,4,Numbani,Guangzhou Charge,2020/04/05,Guangzhou Charge,Chengdu Hunters,100.0,51.015162266570414,2020
33021,3,Eichenwalde,Seoul Dynasty,2020/03/28,Seoul Dynasty,Los Angeles Valiant,100.0,50.94850844785236,2020
33022,2,Eichenwalde,Guangzhou Charge,2020/04/11,Vancouver Titans,Guangzhou Charge,98.55368530803538,100.0,2020
33071,2,Numbani,Dallas Fuel,2020/04/12,Washington Justice,Dallas Fuel,71.03102509689998,100.0,2020
33081,2,Eichenwalde,Chengdu Hunters,2020/04/12,Chengdu Hunters,Vancouver Titans,100.0,99.99954332431946,2020
34129,4,Hollywood,Chengdu Hunters,2020/05/17,Guangzhou Charge,Chengdu Hunters,96.42291808787525,100.0,2020
34130,3,King's Row,Shanghai Dragons,2020/05/10,Hangzhou Spark,Shanghai Dragons,71.18051544388477,100.0,2020
34189,3,King's Row,Los Angeles Valiant,2020/05/10,Los Angeles Valiant,Boston Uprising,100.0,59.70287105715598,2020
