match_id,game_number,map_name,map_type,map_winner,match_date,team_one_name,team_two_name,team_one_score,team_two_score,season
37248,2,Havana,Escort,New York Excelsior,2021/04/25,Hangzhou Spark,New York Excelsior,0.9385399429541383,1.0984898965361842,2021
37249,2,Watchpoint: Gibraltar,Escort,Philadelphia Fusion,2021/04/24,Hangzhou Spark,Philadelphia Fusion,0.9369188239296662,1.0272764336009328,2021
37250,2,Dorado,Escort,Chengdu Hunters,2021/04/24,Chengdu Hunters,New York Excelsior,0.7864507920290803,0.1757632843298826,2021
37251,3,Watchpoint: Gibraltar,Escort,Philadelphia Fusion,2021/04/18,Philadelphia Fusion,Los Angeles Valiant,0.9894766275859225,0.8989047563235181,2021
37252,3,Havana,Escort,Seoul Dynasty,2021/04/18,Seoul Dynasty,Guangzhou Charge,1.1453085042784212,0.9255218028877651,2021
37253,3,Watchpoint: Gibraltar,Escort,Chengdu Hunters,2021/04/18,Chengdu Hunters,Shanghai Dragons,1.3441218700673385,1.071402611658941,2021
37254,3,Dorado,Escort,Seoul Dynasty,2021/04/17,Philadelphia Fusion,Seoul Dynasty,0.9136250380743042,0.9217511073356948,2021
37255,3,Havana,Escort,Chengdu Hunters,2021/04/17,Los Angeles Valiant,Chengdu Hunters,0.22865520549054824,0.9774988587852231,2021
37256,3,Dorado,Escort,Shanghai Dragons,2021/04/17,Shanghai Dragons,Guangzhou Charge,1.2974774219216172,0.17103722258816048,2021
37257,4,Rialto,Escort,San Francisco Shock,2021/06/05,Washington Justice,San Francisco Shock,0.6290760988583817,1.167175418683277,2021
37259,4,Junkertown,Escort,Los Angeles Gladiators,2021/06/05,Los Angeles Gladiators,Paris Eternal,1.838186793569458,0.8437060613584564,2021
37262,4,Dorado,Escort,Los Angeles Gladiators,2021/06/04,Boston Uprising,Los Angeles Gladiators,0.4935622253300098,0.9050731733036621,2021
37263,4,Junkertown,Escort,Florida Mayhem,2021/06/03,Dallas Fuel,Florida Mayhem,0.5739828956462473,0.9733091924369113,2021
37264,4,Rialto,Escort,Paris Eternal,2021/06/03,Boston Uprising,Paris Eternal,0.5865515825854049,1.3175267117104303,2021
37265,2,Dorado,Escort,San Francisco Shock,2021/05/30,San Francisco Shock,Dallas Fuel,1.8002693529015341,0.5944389533478641,2021
37266,2,Dorado,Escort,Atlanta Reign,2021/05/30,Vancouver Titans,Atlanta Reign,0.1898487845425411,1.7176831057048194,2021
37267,2,Rialto,Escort,Houston Outlaws,2021/05/30,Toronto Defiant,Houston Outlaws,0.2616026935477686,1.4091291446620036,2021
37268,2,Rialto,Escort,Los Angeles Gladiators,2021/05/29,Atlanta Reign,Los Angeles Gladiators,1.0695963217626638,1.0927576002419717,2021
37269,2,Junkertown,Escort,Toronto Defiant,2021/05/29,Toronto Defiant,San Francisco Shock,1.2460138739107045,0.5432608050136007,2021
37270,2,Dorado,Escort,Houston Outlaws,2021/05/29,London Spitfire,Houston Outlaws,0.8683773156610165,0.9513548738170627,2021
37271,2,Junkertown,Escort,Los Angeles Gladiators,2021/05/28,Vancouver Titans,Los Angeles Gladiators,0.8967396993493366,1.3808093878289185,2021
37272,2,Junkertown,Escort,Dallas Fuel,2021/05/28,London Spitfire,Dallas Fuel,0.5258230390617652,1.7477894595902588,2021
37273,3,Dorado,Escort,Houston Outlaws,2021/05/23,Florida Mayhem,Houston Outlaws,1.0623943233987103,1.0992153822278314,2021
37274,3,Junkertown,Escort,Boston Uprising,2021/05/23,Boston Uprising,Washington Justice,1.142908832938507,0.20783473308266526,2021
37275,3,Dorado,Escort,Atlanta Reign,2021/05/23,London Spitfire,Atlanta Reign,0.6056323565802687,1.4149366337236402,2021
37276,3,Rialto,Escort,Boston Uprising,2021/05/23,Toronto Defiant,Boston Uprising,1.0698468624465391,1.0698468624465391,2021
37277,3,Junkertown,Escort,Atlanta Reign,2021/05/22,Atlanta Reign,Houston Outlaws,1.5878634952042308,0.9714589877714669,2021
37278,3,Rialto,Escort,Paris Eternal,2021/05/22,Washington Justice,Paris Eternal,0.16626330462716168,1.0440474162216231,2021
37279,3,Rialto,Escort,Florida Mayhem,2021/05/21,Florida Mayhem,London Spitfire,1.1138386865546146,0.8794764629484979,2021
37280,3,Dorado,Escort,Toronto Defiant,2021/05/21,Toronto Defiant,Paris Eternal,0.9190156492610868,0.8649415304156757,2021
37281,2,Dorado,Escort,Shanghai Dragons,2021/05/30,Shanghai Dragons,Seoul Dynasty,1.440195232896271,0.6052931808279081,2021
37282,2,Dorado,Escort,New York Excelsior,2021/05/30,New York Excelsior,Los Angeles Valiant,1.2330696325407797,0.20754611846632307,2021
37283,2,Junkertown,Escort,New York Excelsior,2021/05/29,New York Excelsior,Seoul Dynasty,0.9333672682477794,0.9333517045729885,2021
